UUID,event_type,datetime,subcategory_name
00001820-5ec0-4e3f-a27a-778cb165ca38,VAP,2019-01-23 06:25:35.149 UTC,Land - Plot For Sale
00006509-d94f-4142-84a6-3c6bc5c20a83,view_number_on_vap_initiate,2019-01-24 06:38:30.501 UTC,Villas/Bungalows for Sale
00006509-d94f-4142-84a6-3c6bc5c20a83,view_number_on_vap_success,2019-01-24 06:38:35.065 UTC,Villas/Bungalows for Sale
0001f00c-07eb-4d8e-8cb4-1dc6f6aed214,homepage,2019-01-23 10:57:41.696 UTC,
0001f00c-07eb-4d8e-8cb4-1dc6f6aed214,homepage,2019-01-23 10:57:46.692 UTC,
000421ad-4307-4ec3-ad74-22cd1e54d71d,quick_view_snb,2019-01-25 08:19:57.637 UTC,Villas/Bungalows for Sale
000421ad-4307-4ec3-ad74-22cd1e54d71d,quick_view_snb,2019-01-25 08:20:19.625 UTC,Villas/Bungalows for Sale
000421ad-4307-4ec3-ad74-22cd1e54d71d,VAP,2019-01-25 08:20:27.292 UTC,Villas/Bungalows for Sale
000421ad-4307-4ec3-ad74-22cd1e54d71d,quick_view_snb,2019-01-25 08:20:39.883 UTC,Villas/Bungalows for Sale
000421ad-4307-4ec3-ad74-22cd1e54d71d,quick_view_snb,2019-01-25 08:22:12.810 UTC,Villas/Bungalows for Sale
0004725b-71da-4a37-8fa8-d01dbfee2d49,VAP,2019-01-24 07:07:51.071 UTC,Villas/Bungalows for Sale
0004725b-71da-4a37-8fa8-d01dbfee2d49,VAP,2019-01-24 07:09:00.247 UTC,Villas/Bungalows for Sale
0004725b-71da-4a37-8fa8-d01dbfee2d49,quick_view_snb,2019-01-24 07:09:23.854 UTC,Residential - Builder floors For Sale
000477d6-acaa-422e-8cba-c77a597c6c01,homepage,2019-01-24 16:05:28.263 UTC,
0004bc8c-ebb5-4ecb-93c0-9b1c39d97d32,quick_view_snb,2019-01-24 10:48:54.578 UTC,Villas/Bungalows for Sale
0004bc8c-ebb5-4ecb-93c0-9b1c39d97d32,quick_view_snb,2019-01-24 10:49:03.627 UTC,Residential - Builder floors For Sale
0004bc8c-ebb5-4ecb-93c0-9b1c39d97d32,quick_view_snb,2019-01-24 10:49:22.673 UTC,Houses - Apartments for Sale
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:20:09.214 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:47:34.647 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,VAP,2019-01-23 12:48:56.305 UTC,Villas/Bungalows for Sale
00054603-7ff8-4423-a532-9fd9e8678d97,contact_on_snb_page_initiate,2019-01-23 12:50:15.776 UTC,Villas/Bungalows for Sale
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:50:27.652 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:51:37.936 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:54:00.003 UTC,
