"broker_id";"account_credits"
"4bfe431c0d555";"0.89"
"4bff6be912033";"-0.93"
"4c415ecf87097";"33.10"
"4c453de5784b2";"122.69"
"4c4569f4c8701";"4.32"
"4c49700e31f0a";"323.01"
"4c4d7ae174cdf";"67.64"
"4c569e951947e";"-5.11"
"4c5914d9b8997";"113.41"
"4c595b4c4a92b";"-1.23"
"4c655a552ef54";"-0.21"
"4c6f8eb9051f4";"-0.05"
"4c74c410c5661";"4.61"
"4c7b53a461b85";"-0.07"
"4c827d4dc210d";"99.07"
"4c89b9e3b4139";"59.20"
"4c89e2344f25c";"-4.08"
"4c89f6435ec65";"-7.26"
"4c89f9b9294f9";"3.04"
"4c8a0733290a9";"30.72"
"4ca953bfb35a2";"0.00"
"4caf1ca89b2aa";"0.85"
"4cb6a955c89fa";"-1.03"
"4cc936e7dac6b";"38.14"
"4cea590c0a0d1";"-0.21"
"4cf0ccf4019d2";"-8.32"
"4cf298719a5a7";"7.78"
"4cf87ab58df29";"12.81"
"4cfcdf5cd6f04";"-0.47"
"4d076bf30c13e";"50.00"
"4d0b66392ae51";"-6.33"
"4d0c50590eaa4";"0.00"
"4d0f22b9438b8";"-0.48"
"4d0f3e83bd680";"-0.68"
"4d1460aca93ad";"0.50"
"4d2980b88b82f";"0.00"
"4d3031b0177ad";"6.79"
"4d314c967c230";"-0.54"
"4d33e7f27d4c1";"43.19"
"4d3554f8c6068";"470.04"
"4d3998abd6b64";"-12.38"
"4d492889053c6";"9.33"
"4d4d97caa73a5";"74.80"
"4d5264d7c2bc5";"0.00"
"4d563423d3dca";"0.00"
"4d5e563cd12cb";"-0.36"
"4d63ce931ea80";"12.51"
"4d6f6f8a5e6e0";"-0.92"
"4d7387debcc3f";"-0.75"
"4d74d5c59f03f";"627.56"
"4d8362c0e97b8";"-3.46"
"4d8885cc3e936";"0.00"
"4da036b09d9b0";"22.27"
"4da2c71e5c7fc";"-3.06"
"4da435810d1c0";"-1.08"
"4d6b7c1b91470";"31.35"
"4da69aa52a1cd";"4.72"
"4da6e068693ea";"-0.43"
"4da3728a93d6e";"10.70"
"4d6b799a6f86e";"-0.41"
"4dafeab351d4c";"22.71"
"4db15b639f670";"-0.92"
"4db915496cd65";"161.15"
"4db925ef001c4";"181.37"
"4dbf9ea0d8c0c";"3.28"
"4da3748b54354";"-1.30"
"4dc00bb9ef9c3";"-1.22"
"4db7b239cac4a";"787.39"
"4da34f5401cdd";"0.00"
"4d84d160c6dcd";"0.00"
"4ddb77842b88c";"0.00"
"4de386846f09d";"24.12"
"4dad75e572e14";"48.31"
"4def326000bab";"-0.12"
"4df474c2929d6";"50.95"
"4df78af319dbe";"63.67"
"4e017ca4524e2";"-6.49"
"4e0ec37a8aea9";"-0.83"
"4e116e4799aa9";"646.57"
"4df9d99d64b74";"42.69"
"4e12bc96992e0";"8.13"
"4e0ef8b2e9275";"96.21"
"4da347fb30eda";"-1.36"
"4e1fbd57c965a";"-0.36"
"4e34173f2087a";"-0.05"
"4e38d9ea6a3ca";"-0.04"
"4da186d824cd3";"-14.54"
"4e3f985a45879";"152.91"
