user_id,dvJun13,S30d_events,S30d_totalsessiontime,S30d_sessioncount,S30d_propertiesviewed,S30d_distinctpropertiesviewed,S30d_Saleviews,S30d_Rentviews,S30d_Otherviews,S30d_distinctlocalitiesviewed,S30d_distinctcitiesviewed,S30d_pricevariance,SMax_property,SMax_city_name,SMax_subcategory_name,SMax_source,SMax_utm_traffic_source,SMax_price,SMax_Area_Sq_Feet,R30d_responses,R30d_propertiesresponded,R30d_distinctpropertiesresponded,R30d_Saleresponses,R30d_Rentresponses,R30d_Otherresponses,R30d_distinctlocalitiesresponded,R30d_distinctcitiesresponded,R30d_pricevariance,R30d_Projectresponses,RMax_property,RMax_city_name,RMax_subcategory_name,RMax_source,RMax_utm_traffic_source,RMax_price,RMax_Area_Sq_Feet,S30d_seriousness,S30d_Saleseriousness,S30d_avgsessiontime,S30d_distinctpropertiesviewedRatio,SMax_priceperSqft,R30d_Saleseriousness,R30d_distinctpropertiesrespondedRatio,RMax_priceperSqft
156453324,0,6,4.457883333,2,6,2,6,0,0,2,1,0,Quikr,ROI,Apartment_Sale,msite,OtherPaid,1,3,2,2,2,2,0,0,2,1,0,0,Quikr,ROI,Apartment_Sale,msite,OtherPaid,1,2,0.123830093,1,2.228941667,0.333333333,0.333333333,1,1,0.5
154292288,0,2,1.409116667,1,2,1,2,0,0,1,1,0,Quikr,Hyderabad,Plot_Sale,msite,SEM,1,4,,,,,,,,,,,,,,,,,,0.352279167,1,1.409116667,0.5,0.25,,,
140097221,0,6,4.40515,1,6,2,6,0,0,2,1,0,Quikr,Bangalore,Villa_Sale,msite,CF,1,1,2,2,2,2,0,0,2,1,0,0,Quikr,Bangalore,Villa_Sale,msite,Internal,1,3,0.122365278,1,4.40515,0.333333333,1,1,1,0.333333333
128872598,0,2,0,2,2,1,2,0,0,1,1,0,Quikr,ROI,Apartment_Sale,msite,OtherPaid,2,4,,,,,,,,,,,,,,,,,,0,1,0,0.5,0.5,,,
150399061,0,1,0,1,0,0,0,0,1,0,1,,Quikr,ROI,Others,msite,Internal,4,4,1,0,0,0,0,1,0,1,,1,Quikr,ROI,Others,msite,Internal,4,4,,,0,,1,,,1
153830733,0,12,27.86506667,5,16,6,16,0,0,4,1,0,Quikr,Mumbai_MMR,Apartment_Sale,msite,OtherPaid,1,1,4,4,3,4,0,0,3,1,0,0,Quikr,Mumbai_MMR,Apartment_Sale,msite,OtherPaid,1,1,0.108847917,1,5.573013333,0.375,1,1,0.75,1
142544114,0,4,2.921933333,1,4,1,4,0,0,1,1,0,Quikr,ROI,Plot_Sale,msite,OtherPaid,4,4,2,2,1,2,0,0,1,1,0,0,Quikr,ROI,Plot_Sale,msite,Internal,4,4,0.182620833,1,2.921933333,0.25,1,1,0.5,1
23115395,0,7,2.138966667,2,7,5,1,6,0,4,1,0.142857143,Quikr,ROI,Commercial_Rent,msite,Alerts,1,1,,,,,,,,,,,,,,,,,,0.043652381,0.142857143,1.069483333,0.714285714,1,,,
138273054,0,8,9.116316667,1,8,3,8,0,0,2,1,1.125,Quikr,ROI,Plot_Sale,msite,OtherPaid,1,3,,,,,,,,,,,,,,,,,,0.142442448,1,9.116316667,0.375,0.333333333,,,
145911937,0,4,1.894433333,2,4,2,4,0,0,1,1,0,Quikr,Mumbai_MMR,Apartment_Sale,qh,SMS,1,1,2,2,2,2,0,0,1,1,0,0,Commonfloor,Mumbai_MMR,Apartment_Sale,qh,SMS,1,1,0.118402083,1,0.947216667,0.5,1,1,1,1
125673580,0,1276,4971.2359,122,1276,1043,867,403,6,341,6,0.927081014,Quikr,Bangalore,Apartment_Sale,desktop,OtherPaid,1,3,2,2,2,2,0,0,1,1,0,0,Quikr,Bangalore,Plot_Sale,,Organic,4,4,0.003053255,0.682677165,40.74783525,0.817398119,0.333333333,1,1,1
157309640,0,24,11.72863333,9,24,5,24,0,0,1,1,0,Quikr,Pune,Apartment_Sale,msite,SMS,1,1,6,6,3,6,0,0,1,1,0,2,Quikr,Pune,Apartment_Sale,msite,Alerts,1,1,0.020362211,1,1.303181481,0.208333333,1,1,0.5,1
127508459,0,16,3.237066667,3,16,3,16,0,0,3,1,0,Quikr,ROI,Apartment_Sale,msite,Alerts,1,1,8,8,3,8,0,0,3,1,0,0,Quikr,ROI,Apartment_Sale,msite,Alerts,1,1,0.012644792,1,1.079022222,0.1875,1,1,0.375,1
