,UUID,no_of_sessions,last_subcat_visited,max_subcat_visited,last_subcattype_visited,max_subcattype_visited
0,00001820-5ec0-4e3f-a27a-778cb165ca38,1,Land - Plot For Sale,Land - Plot For Sale,Sale,Sale
1,00006509-d94f-4142-84a6-3c6bc5c20a83,1,Villas/Bungalows for Sale,Villas/Bungalows for Sale,Sale,Sale
2,0001f00c-07eb-4d8e-8cb4-1dc6f6aed214,1,NULL,NULL,NULL,NULL
3,000421ad-4307-4ec3-ad74-22cd1e54d71d,1,Villas/Bungalows for Sale,Villas/Bungalows for Sale,Sale,Sale
4,0004725b-71da-4a37-8fa8-d01dbfee2d49,1,Residential - Builder floors For Sale,Villas/Bungalows for Sale,Sale,Sale
5,000477d6-acaa-422e-8cba-c77a597c6c01,1,NULL,NULL,NULL,NULL
6,0004bc8c-ebb5-4ecb-93c0-9b1c39d97d32,1,Houses - Apartments for Sale,Houses - Apartments for Sale,Sale,Sale
7,00054603-7ff8-4423-a532-9fd9e8678d97,2,Houses - Apartments for Sale,NULL,Sale,NULL
8,00058d44-5d42-4f53-aa16-a85d9f7bb4bc,1,NULL,Land - Plot For Sale,NULL,Sale
9,0005d214-38e5-4a77-80d2-c49a1b5d9d5e,3,NULL,NULL,NULL,NULL
10,0006453b-e48e-434b-8ade-5012d538ac4e,1,Houses - Apartments for Sale,Houses - Apartments for Sale,Sale,Sale
11,00070da5-9efc-49a9-bbbf-9f5964bfa6cd,1,Paying Guest - Hostel,Paying Guest - Hostel,Others,Others
12,00070f0b-de76-4c70-8e65-7a0961b05244,1,Villas/Bungalows for Rent,Villas/Bungalows for Rent,Rent,Rent
13,00075282-9f2d-4b13-8129-d2c99c11d686,1,Houses - Apartments for Rent,Houses - Apartments for Rent,Rent,Rent
14,000851d5-855b-4193-ae29-f12114f940ba,1,Houses - Apartments for Rent,Houses - Apartments for Rent,Rent,Rent
15,00087099-a764-44a4-8c85-3808e85e9377,1,Commercial Property for Sale,Commercial Property for Sale,Sale,Sale
16,00088953-0bed-4d4e-83ea-304f96894e76,2,Residential - Builder floors For Rent,Residential - Builder floors For Rent,Rent,Rent
17,000942af-45d2-44d0-8abe-23b6b1b68761,3,NULL,Houses - Apartments for Sale,NULL,Sale
18,00095bdb-bfa5-4708-8705-8fb2accdb204,1,NULL,NULL,NULL,NULL
19,00099bae-97b3-473a-9124-ba86fa4433ea,1,Apartment For Rent,Apartment For Rent,Rent,Rent
20,000a3958-11e5-475e-a7c3-a8e3cb815704,1,NULL,NULL,NULL,NULL
21,000a5e9d-3e45-4349-8f5a-5fcefee0512b,1,Houses - Apartments for Sale,Houses - Apartments for Sale,Sale,Sale
22,000a8140-dc4f-4f83-87cd-0560a732e967,1,Land - Plot For Sale,Land - Plot For Sale,Sale,Sale
23,000a91a2-4644-4df9-a83d-fdeffd685b80,1,Land - Plot For Sale,Land - Plot For Sale,Sale,Sale
24,000bd32d-447a-450b-85fd-4b1f96d009da,1,NULL,NULL,NULL,NULL
25,000bf5a1-9524-4806-9a02-aca8a25f58e2,3,Land - Plot For Sale,Land - Plot For Sale,Sale,Sale
26,000c9474-28d7-47b1-8b05-81da4ffac299,2,NULL,NULL,NULL,NULL
27,000d925b-06fe-4113-98b9-bbb9a902727b,1,Houses - Apartments for Rent,Houses - Apartments for Rent,Rent,Rent
28,000db67b-a29b-4616-8b04-c5e6fad716bc,1,Houses - Apartments for Rent,NULL,Rent,NULL
29,000df0c9-4a9a-47c0-8d92-f179b37683df,3,Villas/Bungalows for Sale,NULL,Sale,NULL
30,000e1fd4-80f8-44b2-8bbe-b017b10cd60c,1,Villas/Bungalows for Sale,Villas/Bungalows for Sale,Sale,Sale
31,000e2909-4323-4bb5-93ec-4ebb5bd21e27,1,Villas/Bungalows for Rent,Villas/Bungalows for Rent,Rent,Rent
32,000ecade-9fa8-4054-8d95-7920d25cb2b4,1,Houses - Apartments for Rent,Houses - Apartments for Rent,Rent,Rent
33,000f497b-1123-407b-8c75-a7a63610d335,2,Residential,Residential,Others,Others
34,000fde01-55d4-4c8b-a476-ed570dd44808,1,Houses - Apartments for Sale,Houses - Apartments for Sale,Sale,Sale
35,00103fe8-0acc-4acc-a745-8599161a540a,3,Houses - Apartments for Rent,NULL,Rent,NULL
36,0011ef4f-817c-4466-a874-7b864f4dd8ff,1,Houses - Apartments for Rent,NULL,Rent,NULL
37,00123a56-1044-4a92-91fe-31d8fc6e7bba,1,NULL,NULL,NULL,NULL
38,0012559c-0a04-47da-9598-7a2b1ae7be71,1,NULL,NULL,NULL,NULL
